.028,200,422.07,ACTIVE
.032,260,422.07,ACTIVE
.035,290,422.07,ACTIVE
.040,380,441.18,ACTIVE
.044,440,428.06,ACTIVE
.050,560,422.43,ACTIVE
.055,680,424.88,ACTIVE
.059,750,416.62,ACTIVE
.064,880,420.32,ACTIVE
.070,1040,430.30,ACTIVE
.076,1210,425.35,ACTIVE
.082,1390,419.92,ACTIVE
.087,1570,428.75,ACTIVE
.092,1770,424.57,ACTIVE
.097,1980,444.29,ACTIVE
.100,1500,444.29,ACTIVE
.104,2200,427.18,ACTIVE
.108,2390,443.28,ACTIVE
.114,2660,435.93,ACTIVE
999,999,999,END
