0.040,225,0.40,0.0057,1.0,1,SPECTRA,ACTIVE
0.058,550,0.95,0.0057,1.0,1,SPECTRA,ACTIVE
0.065,800,1.26,0.0057,1.0,1,SPECTRA,ACTIVE
999,999,999,999,999,999,END,END

