.028,200,1.80480,0.007,2.0,1,1X7,INACTIVE
.032,260,2.35729,0.007,2.0,1,1X7,INACTIVE
.035,290,2.82000,0.007,2.0,1,1X7,ACTIVE
.040,380,3.85003,0.007,2.0,1,1X7,ACTIVE
.044,440,4.52000,0.007,2.0,1,1X7,ACTIVE
.045,400,2.0,0.007,1.0,1,1X7,INACTIVE
.050,560,5.76001,0.007,2.0,1,1X7,ACTIVE
.055,680,7.01003,0.007,2.0,1,1X7,ACTIVE
.059,750,7.90993,0.007,2.0,1,1X7,ACTIVE
.064,880,9.39006,0.007,2.0,1,1X7,ACTIVE
.070,1040,11.49995,0.007,2.0,1,1X7,ACTIVE
.072,1056,12.00000,0.007,2.0,1,1X7,ACTIVE
.076,1210,13.39991,0.007,2.0,1,1X7,ACTIVE
.082,1390,15.40007,0.007,2.0,1,1X7,ACTIVE
.084,1390,15.40007,0.007,2.0,1,1X7,ACTIVE
.087,1570,17.69991,0.007,2.0,1,1X7,ACTIVE
.092,1770,19.59988,0.007,2.0,1,1X7,ACTIVE
.097,1980,22.80019,0.007,2.0,1,1X7,ACTIVE
.100,1500,24.23232,0.007,2.0,1,1X7,INACTIVE
.104,2200,25.20032,0.007,2.0,1,1X7,ACTIVE
.108,2390,28.20032,0.007,2.0,1,1X7,ACTIVE
.121,2450,29.80000,0.007,2.0,1,1X7,ACTIVE
.131,2850,34.30000,0.007,2.0,1,1X7,INACTIVE
.141,3300,40.10000,0.007,2.0,1,1X7,INACTIVE
.151,3720,46.20000,0.007,2.0,1,1X7,INACTIVE
.161,4290,53.50000,0.007,2.0,1,1X7,INACTIVE
.287,8000,40.00000,0.007,2.0,1,1X7,INACTIVE
.0709,1000,11.49995,0.007,2.0,1,1X7,INACTIVE
.0492,500,5.76001,0.007,2.0,1,1X7,INACTIVE
.085,850,1.8500,0.007,2.0,1,1X7,INACTIVE
.125,2400,2.20000,0.007,2.0,1,1X7,INACTIVE
999,999,999,999,999,999,END,END

.112,2523,29.76700,0.007,2.0,1,1X7,ACTIVE
.114,2660,30.89974,0.007,2.0,1,1X7,ACTIVE

0.040,225,0.40,0.0057,1.0,1,1X7,ACTIVE
0.058,550,0.95,0.0057,1.0,1,1X7,ACTIVE
0.065,750,1.26,0.0057,1.0,1,1X7,ACTIVE
999,999,999,999,999,999,END,END

