.019,102,0.96267,0.0057,2.0,1,MUSIC,INACTIVE
.021,122,1.00000,0.0057,2.0,1,MUSIC,INACTIVE
.024,154,1.53600,0.0057,2.0,1,MUSIC,ACTIVE
.028,206,2.09067,0.0057,2.0,1,MUSIC,ACTIVE
.031,250,2.60000,0.0057,2.0,1,MUSIC,INACTIVE
.032,263,2.73067,0.0057,2.0,1,MUSIC,ACTIVE
.034,287,3.00000,0.0057,2.0,1,MUSIC,ACTIVE
.035,314,3.26667,0.0057,2.0,1,MUSIC,ACTIVE
.038,362,3.85067,0.0057,2.0,1,MUSIC,ACTIVE
.040,388,4.10000,0.0057,2.0,1,MUSIC,INACTIVE
.041,418,4.48267,0.0057,2.0,1,MUSIC,ACTIVE
.044,480,5.16267,0.0057,2.0,1,MUSIC,ACTIVE
.047,540,5.89067,0.0057,2.0,1,MUSIC,ACTIVE
.050,605,6.66667,0.0057,2.0,1,MUSIC,ACTIVE
.051,625,6.66667,0.0057,2.0,1,MUSIC,INACTIVE
.053,680,7.49067,0.0057,2.0,1,MUSIC,ACTIVE
.056,745,8.36267,0.0057,2.0,1,MUSIC,ACTIVE
.059,816,9.28267,0.0057,2.0,1,MUSIC,ACTIVE
.062,900,10.25067,0.0057,2.0,1,MUSIC,ACTIVE
.064,940,10.92267,0.0057,2.0,1,MUSIC,INACTIVE
.066,1005,11.6160,0.0057,2.0,1,MUSIC,ACTIVE
.069,1090,12.6960,0.0057,2.0,1,MUSIC,INACTIVE
.072,1150,13.8240,0.0057,2.0,1,MUSIC,ACTIVE
.075,1270,15.0000,0.0057,2.0,1,MUSIC,INACTIVE
.078,1325,16.2240,0.0057,2.0,1,MUSIC,INACTIVE
999,999,999,999,999,999,END,END

